"","Site.Number","H4","H5","H6","H7","H8","H9"
"1",21,-133.534393310547,-122.054496765137,-115.806427001953,-103.723182678223,-107.810829162598,-106.463752746582
"2",21,-133.534393310547,-122.054496765137,-115.806427001953,-103.723182678223,-107.810829162598,-106.463752746582
"3",21,-133.534393310547,-122.054496765137,-115.806427001953,-103.723182678223,-107.810829162598,-106.463752746582
"4",24,-139.645751953125,-127.742149353027,-121.290435791016,-108.023155212402,-111.956062316895,-111.047660827637
"5",24,-139.645751953125,-127.742149353027,-121.290435791016,-108.023155212402,-111.956062316895,-111.047660827637
"6",24,-139.645751953125,-127.742149353027,-121.290435791016,-108.023155212402,-111.956062316895,-111.047660827637
"7",30,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"8",30,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"9",30,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"10",31,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"11",31,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"12",31,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"13",32,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"14",35,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"15",35,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"16",35,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"17",36,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"18",36,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"19",36,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"20",38,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"21",38,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"22",38,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"23",39,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"24",39,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"25",39,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"26",43,-132.556610107422,-120.968414306641,-114.494697570801,-103.09162902832,-107.327857971191,-106.010314941406
"27",43,-132.556610107422,-120.968414306641,-114.494697570801,-103.09162902832,-107.327857971191,-106.010314941406
"28",43,-132.556610107422,-120.968414306641,-114.494697570801,-103.09162902832,-107.327857971191,-106.010314941406
"29",47,-126.797019958496,-115.450500488281,-108.996170043945,-98.8171081542969,-103.263885498047,-101.580619812012
"30",47,-126.797019958496,-115.450500488281,-108.996170043945,-98.8171081542969,-103.263885498047,-101.580619812012
"31",47,-126.797019958496,-115.450500488281,-108.996170043945,-98.8171081542969,-103.263885498047,-101.580619812012
"32",48,-126.797019958496,-115.450500488281,-108.996170043945,-98.8171081542969,-103.263885498047,-101.580619812012
"33",48,-126.797019958496,-115.450500488281,-108.996170043945,-98.8171081542969,-103.263885498047,-101.580619812012
"34",48,-126.797019958496,-115.450500488281,-108.996170043945,-98.8171081542969,-103.263885498047,-101.580619812012
"35",49,-126.797019958496,-115.450500488281,-108.996170043945,-98.8171081542969,-103.263885498047,-101.580619812012
"36",49,-126.797019958496,-115.450500488281,-108.996170043945,-98.8171081542969,-103.263885498047,-101.580619812012
"37",49,-126.797019958496,-115.450500488281,-108.996170043945,-98.8171081542969,-103.263885498047,-101.580619812012
