"","site number","H 1","H 2","H 3","H 4","H 5"
"1",2,-171.962127685547,-166.845245361328,-152.431838989258,-150.104843139648,-167.468566894531
"2",3,-171.930801391602,-166.840591430664,-152.533813476562,-150.189163208008,-167.671142578125
"3",4,-174.412933349609,-169.344818115234,-154.483749389648,-152.562026977539,-169.681991577148
"4",5,-174.412933349609,-169.344818115234,-154.483749389648,-152.562026977539,-169.681991577148
"5",6,-174.412933349609,-169.344818115234,-154.483749389648,-152.562026977539,-169.681991577148
"6",9,-172.298828125,-167.248764038086,-152.631134033203,-150.488342285156,-167.683410644531
"7",16,-171.962127685547,-166.845245361328,-152.431838989258,-150.104843139648,-167.468566894531
"8",21,-178.857482910156,-173.717254638672,-158.580001831055,-157.085479736328,-174.264907836914
"9",24,-185.719924926758,-180.579925537109,-164.72151184082,-164.045700073242,-181.057113647461
"10",27,-185.193740844727,-180.108795166016,-164.285415649414,-163.629150390625,-180.637298583984
"11",29,-185.193740844727,-180.108795166016,-164.285415649414,-163.629150390625,-180.637298583984
"12",30,-171.930801391602,-166.840591430664,-152.533813476562,-150.189163208008,-167.671142578125
"13",31,-171.930801391602,-166.840591430664,-152.533813476562,-150.189163208008,-167.671142578125
"14",32,-171.930801391602,-166.840591430664,-152.533813476562,-150.189163208008,-167.671142578125
"15",35,-173.696746826172,-168.722320556641,-154.092788696289,-152.182342529297,-169.521896362305
"16",36,-173.696746826172,-168.722320556641,-154.092788696289,-152.182342529297,-169.521896362305
"17",37,-173.696746826172,-168.722320556641,-154.092788696289,-152.182342529297,-169.521896362305
"18",38,-173.696746826172,-168.722320556641,-154.092788696289,-152.182342529297,-169.521896362305
"19",39,-177.873184204102,-172.83154296875,-157.840957641602,-156.343948364258,-173.640502929688
"20",40,-173.696746826172,-168.722320556641,-154.092788696289,-152.182342529297,-169.521896362305
"21",41,-173.696746826172,-168.722320556641,-154.092788696289,-152.182342529297,-169.521896362305
"22",43,-171.098236083984,-166.333908081055,-151.899078369141,-149.860290527344,-167.282333374023
