Site.Number,Site.Name,Site.Name.From.2019,Type,Sample.Date,O18,H2,EC,Season,Easting,Northing
69,Spilli Rd,,W,2020-05-07,-11.805,-112.865,303,Sp,NA,NA
110,Blue Roof,Blue Roof,W,2020-05-07,-15.74,-129.67,289.1,Sp,NA,NA
125,By Musquash bridge,,W,2020-05-11,-13.775,-119.39,755,Sp,NA,NA
126,Trescher North,Trescher North,W,2020-05-11,-14.41,-121.86,344,Sp,NA,NA
127,Palmer south,Palmer south,W,2020-05-11,-15.69,-130.48,323,Sp,NA,NA
128,Palmer north,Palmer north,W,2020-05-11,-15.1,-125.88,322,Sp,NA,NA
129,Beards Cr South,,W,2020-05-11,-18.76,-141.18,360,Sp,NA,NA
130,Beards Cr West,,W,2020-05-11,-18.59,-138.125,361,Sp,NA,NA
131,Beards Creek North,,W,2020-05-11,-16.27,-130.43,458,Sp,NA,NA
132,By steep overlook  parking east side,By steep overlook  parking east side,W,2020-05-11,-19.16,-143.72,404,Sp,NA,NA
133,N of Brisco Rd by RR track,,W,2020-05-11,-14.17,-115.94,1038,Sp,NA,NA
134,Just north of Tatley Slough,,W,2020-05-13,-19.5,-147.78,264.6,Sp,NA,NA
135,Mud Lake,,W,2020-05-13,-12.945,-112.295,404,Sp,NA,NA
136,Tatley Slough,Tatley Slough,W,2020-05-13,-11.55,-105.49,350,Sp,NA,NA
137,Muskrat Pond,Muskrat Pond,W,2020-05-09,-12.63,-112.43,136.1,Sp,NA,NA
138,Palmer Spring,Palmer Spring,G,2020-05-11,-18.94,-144.99,506,Sp,NA,NA
139,Bugaboo Creek,Bugaboo Creek,R,2020-05-04,-19.09,-144.74,133.8,Sp,NA,NA
140,Spilli R,Spillimacheen Creek,R,2020-05-04,-19.405,-147.87,119,Sp,NA,NA
141,Galena Creek,,R,2020-05-04,-18.41,-141.41,259.7,Sp,NA,NA
143,Horse Creek Spring South,,G,2020-06-15,-17.18,-140.44,316,Sm,NA,NA
145,Black Bear Upper,,G,2020-05-06,-19.365,-146.62,497,Sp,NA,NA
146,Black Bear Lower,,G,2020-05-06,-18.98,-147.41,453,Sp,NA,NA
147,Edgewater Creek,,R,2020-05-06,-18.31,-144.745,319,Sp,NA,NA
148,Jones Spring,,G,2020-05-07,-18.79,-143.47,404,Sp,NA,NA
149,Shuswap Creek,,R,2020-05-07,-18.65,-143.47,342,Sp,NA,NA
150,Indian Spring,,G,2020-05-07,-18.99,-146.14,955,Sp,NA,NA
151,Wishing Pond Spring,,G,2020-05-07,-18.68,-144.55,964,Sp,NA,NA
152,Swansea Flank Spring,,G,2020-05-07,-19.045,-145.95,995,Sp,NA,NA
153,Windermere Creek,,R,2020-05-07,-18.99,-144.06,867,Sp,NA,NA
154,Windermere Lake,,L,2020-05-07,-17.03,-135.69,267.7,Sp,NA,NA
155,Luxor Spring,,G,2020-05-11,-19.31,-145.96,302,Sp,NA,NA
156,Kindersley Creek,,R,2020-05-11,-18.93,-143.75,286.6,Sp,NA,NA
157,Taylor Spring,,G,2020-05-14,-19.59,-148.185,336,Sp,NA,NA
158,West Marion Creek,,R,2020-05-14,-18.85,-143.86,298.4,Sp,NA,NA
159,Beard's Ck U/S of RR,,R,2020-05-11,-18.51,-140.69,267.4,Sp,NA,NA
309,OBS Well 309 ,,G,2020-08-07,-19.26,-153.88,342,F,NA,NA
