uid,domainID,siteID,namedLocation,sampleID,setDate,collectDate,chemSubsampleID,precipCalcium,precipCalciumFlag,precipCalciumUncertainty,precipMagnesium,precipMagnesiumFlag,precipMagnesiumUncertainty,precipPotassium,precipPotassiumFlag,precipPotassiumUncertainty,precipSodium,precipSodiumFlag,precipSodiumUncertainty,precipAmmonium,precipAmmoniumFlag,precipAmmoniumUncertainty,precipNitrate,precipNitrateFlag,precipNitrateUncertainty,precipSulfate,precipSulfateFlag,precipSulfateUncertainty,precipPhosphate,precipPhosphateFlag,precipPhosphateUncertainty,precipChloride,precipChlorideFlag,precipChlorideUncertainty,precipBromide,precipBromideFlag,precipBromideUncertainty,pH,pHUncertainty,precipConductivity,precipConductivityUncertainty,externalRemarks,laboratoryName,labCondition,labConditionRemarks,receivedDate,analysisDate,sampleMass,sampleCondition
29e80b10-e564-4a6f-9d80-39929a4d1adb,D12,YELL,YELL.TOS.wet.deposition,WDP.YELL.20200928.0935,2020-08-25T15:06Z,2020-09-28,WDP.YELL.20200928.0935.CHEM,0.445,Unresolved ion balance (IPD/CPD) discrepancy,0.006,0.059,Unresolved ion balance (IPD/CPD) discrepancy,0.002,0.083,Unresolved ion balance (IPD/CPD) discrepancy,0.002,0.09,Unresolved ion balance (IPD/CPD) discrepancy,0.002,0.632,Unresolved ion balance (IPD/CPD) discrepancy,0.018,1.07,Unresolved ion balance (IPD/CPD) discrepancy,0.005,0.393,Unresolved ion balance (IPD/CPD) discrepancy,0.005,0.009,Unresolved ion balance (IPD/CPD) discrepancy,0.006,0.11,Unresolved ion balance (IPD/CPD) discrepancy,0.003,0.004,Unresolved ion balance (IPD/CPD) discrepancy|Below detection limit,0.004,6.54,0.1,8.3,0.4,Sample reanalyzed. No edits requested.,Illinois State Water Survey Central Analytical Laboratory,,Bug/plant matter present.,,2020-10-15T10:55Z,189.17,
58ef9d00-91a2-4ebf-855f-d04e9f0c8694,D12,YELL,YELL.TOS.wet.deposition,WDP.YELL.20201021.0944,2020-09-28T16:01Z,2020-10-21,WDP.YELL.20201021.0944.CHEM,0.304,,0.006,0.039,,0.002,0.064,,0.002,0.057,,0.002,0.439,,0.018,0.366,,0.005,0.14,,0.005,0.016,,0.006,0.047,,0.003,0.001,Below detection limit,0.004,6.6,0.1,5.7,0.4,,Illinois State Water Survey Central Analytical Laboratory,,,,2020-11-05T14:03Z,362.7,
31cd3d6b-017b-4051-83d8-cf9da6f69fca,D12,YELL,YELL.TOS.wet.deposition,WDP.YELL.20201027.1219,2020-10-21T15:48Z,2020-10-27,WDP.YELL.20201027.1219.CHEM,0.861,,0.006,0.094,,0.002,0.061,,0.002,0.034,,0.002,0.262,,0.018,0.215,,0.005,0.117,,0.005,0.012,,0.006,0.032,,0.003,0,Below detection limit,0.004,6.9,0.1,7.5,0.4,,Illinois State Water Survey Central Analytical Laboratory,,,,2020-11-05T14:02Z,153.28,
1f7f3f6d-6f4f-405f-8773-21978d16e160,D12,YELL,YELL.TOS.wet.deposition,WDP.YELL.20201228.1059,2020-12-16T18:19Z,2020-12-28,WDP.YELL.20201228.1059.CHEM,0.104,,0.006,0.02,,0.002,0.025,,0.002,0.049,,0.002,0.228,,0.018,0.597,,0.005,0.136,,0.005,0.024,,0.006,0.046,,0.003,0,Below detection limit,0.004,5.7,0.1,7.3,0.4,,Illinois State Water Survey Central Analytical Laboratory,,Small sample 32 mls,,2021-01-08T12:30Z,32.44,
f83700b7-1f53-409f-b4a2-5871eab68396,D12,YELL,YELL.TOS.wet.deposition,WDP.YELL.20200212.1034,2020-01-28T18:15Z,2020-02-12,WDP.YELL.20200212.1034.CHEM,0.025,,0.006,0.005,,0.002,0.004,,0.002,0.015,,0.002,0.1,,0.018,0.264,,0.005,0.068,,0.005,0.004,Below detection limit,0.006,0.014,,0.003,0,Below detection limit,0.004,5.55,0.1,2.4,0.4,,Illinois State Water Survey Central Analytical Laboratory,,,,2020-02-28T12:54Z,302.94,
df412644-09bf-4061-98ad-2765706d9b14,D12,YELL,YELL.TOS.wet.deposition,WDP.YELL.20200310.1009,2020-02-24T18:30Z,2020-03-10,WDP.YELL.20200310.1009.CHEM,0.555,,0.006,0.052,,0.002,0.031,,0.002,0.303,,0.002,0.22,,0.018,0.725,,0.005,0.688,,0.005,0.006,Below detection limit,0.006,0.151,,0.003,0.003,Below detection limit,0.004,6.38,0.1,7.2,0.4,,Illinois State Water Survey Central Analytical Laboratory,,Small sample 30 mls,,2020-03-19T13:19Z,33.9,
1b3c7154-8c0a-4103-886c-0d94340978e5,D12,YELL,YELL.TOS.wet.deposition,WDP.YELL.20200802.1030,2020-07-05T18:15Z,2020-08-02,WDP.YELL.20200802.1030.CHEM,0.285,Debris observed in sample,0.006,0.038,Debris observed in sample,0.002,0.052,Debris observed in sample,0.002,0.119,Debris observed in sample,0.002,0.299,Debris observed in sample,0.018,0.843,Debris observed in sample,0.005,0.397,Debris observed in sample,0.005,0.01,Debris observed in sample,0.006,0.123,Debris observed in sample,0.003,0.004,Below detection limit|Debris in sample,0.004,5.78,0.1,5.6,0.4,,Illinois State Water Survey Central Analytical Laboratory,,Bug and plant matter,,2020-08-17T14:13Z,211.7,c
0d826b35-a72b-40b4-8e49-9f4eee699ee2,D12,YELL,YELL.TOS.wet.deposition,WDP.YELL.20200122.1106,2019-12-20T18:11Z,2020-01-22,WDP.YELL.20200122.1106.CHEM,0.074,Debris observed in sample,0.006,0.015,Debris observed in sample,0.002,0.037,Debris observed in sample,0.002,0.129,Debris observed in sample,0.002,0.215,Debris observed in sample,0.018,0.554,Debris observed in sample,0.005,0.205,Debris observed in sample,0.005,0.006,Debris observed in sample,0.006,0.074,Debris observed in sample,0.003,0.001,Below detection limit|Debris in sample,0.004,5.78,0.1,3.9,0.4,,Illinois State Water Survey Central Analytical Laboratory,,Black specs present,,2020-01-31T13:05Z,94.73,c
b31940be-6654-444a-b65b-43ee4536af00,D12,YELL,YELL.TOS.wet.deposition,WDP.YELL.20200128.1113,2020-01-22T18:10Z,2020-01-28,WDP.YELL.20200128.1113.CHEM,0.048,,0.006,0.007,,0.002,0.02,,0.002,0.053,,0.002,0.102,,0.018,0.326,,0.005,0.097,,0.005,0.006,Below detection limit,0.006,0.024,,0.003,0.001,Below detection limit,0.004,5.65,0.1,2.9,0.4,,Illinois State Water Survey Central Analytical Laboratory,,,,2020-02-07T13:40Z,35.18,
1bcc5c89-1392-4fa9-9163-9c2822457440,D16,WREF,WREF.TOS.wet.deposition,WDP.WREF.20201201.1137,2020-11-20T20:58Z,2020-12-01,WDP.WREF.20201201.1137.CHEM,0.026,,0.006,0.036,,0.002,0.014,,0.002,0.298,,0.002,0.01,Below detection limit,0.018,0.11,,0.005,0.117,,0.005,0.002,Below detection limit,0.006,0.557,,0.003,0.001,Below detection limit,0.004,5.4,0.1,4.2,0.4,,Illinois State Water Survey Central Analytical Laboratory,,,,2020-12-16T13:38Z,488.55,
