"","Site.Number","date","starO","starH","sslO","sslH","EO","EH","slope","input","IO","IH","EI"
"1","21","2020-05-07","0.00444440287364186","-0.0321002050105975","-0.00543819465271508","-0.0834420479281474","-0.0439833263603099","-0.247359645265647","4.48403389522415","-59.3740288654731","-19.7311426783211","-147.849141426569","0.106184646882645"
"2","21","2020-06-03","0.000216710353967992","-0.055806486687344","-0.00684206720479337","-0.0906990755894971","-0.043048563101363","-0.238108496163297","4.41389371291107","-58.8224758627091","-19.1914210993943","-143.531368795155","0.100699803799666"
"3","21","2020-10-08","0.00440137898328358","-0.0378916468591703","-0.00561813503148062","-0.0868119482617427","-0.0365946673788845","-0.213612394600725","5.12126357995673","-51.1932236028019","-21.2569734334629","-160.055787467703","0.323873976671205"
"4","24","2020-05-07","0.00370478335486411","-0.0376248293202656","-0.00619587817919974","-0.0889410597806083","-0.0394704093626838","-0.22340012691594","4.64027868766154","-55.4665416525317","-19.4857059757034","-145.885647805627","0.17385840448782"
"5","24","2020-06-03","-0.00051979611654348","-0.0611957991592359","-0.00759566973606228","-0.0961224164921693","-0.0464308539880805","-0.253582865208319","4.00890863029046","-68.0471502382904","-19.5553403839939","-146.442723071951","0.0453037902343521"
"6","24","2020-10-08","0.00366179114501397","-0.0433832145026522","-0.00637608641839979","-0.0922936249105874","-0.0317828820480679","-0.184242715276204","5.23478713238274","-47.4426405989021","-20.7733159611685","-156.186527689348","0.438656386148815"
"7","30","2020-05-05","0.0052335150099797","-0.0262843494219489","-0.00459781761258882","-0.0773805838187365","-0.0306386115062559","-0.194308986803744","7.03275254300108","-32.4247881967686","-43.8613592517473","-340.890874013979","1.65789359336468"
"8","30","2020-06-05","0.0010025011283007","-0.0501330759173528","-0.00600989129668349","-0.0847521776197787","-0.0491798317199659","-0.270087989546888","4.1459760049062","-65.4225817496769","-19.5698267176568","-146.558613741254","0.0376936321333264"
"9","30","2020-10-08","0.00519045731917022","-0.0321105905231053","-0.00477696676814741","-0.0807667970552259","-0.03260200011962","-0.19459290267453","5.50632850155848","-45.9110198167814","-22.4211648774605","-169.369319019684","0.513158225711388"
"10","31","2020-05-05","0.0052335150099797","-0.0262843494219489","-0.00459781761258882","-0.0773805838187365","-0.0367562092812364","-0.221899428103894","5.13254063897532","-51.8264873463565","-21.5614171160434","-162.491336928347","0.354133426955793"
"11","31","2020-06-01","0.0010025011283007","-0.0501330759173528","-0.00600989129668349","-0.0847521776197787","-0.034806940313943","-0.209971683608532","5.09990638168287","-51.1762029953751","-21.0945614338045","-158.756491470436","0.375487718959143"
"12","31","2020-10-08","0.00519045731917022","-0.0321105905231053","-0.00477696676814741","-0.0807667970552259","-0.0450946659592452","-0.253063696702603","3.67660493309252","-74.9150328054922","-19.6408219677763","-147.12657574221","0.0852057656774337"
"13","32","2020-06-05","0.0010025011283007","-0.0501330759173528","-0.00600989129668349","-0.0847521776197787","-0.0467757329775916","-0.263377722969504","3.95046284707923","-69.9009094330551","-19.73087452116","-147.84699616928","0.0768328453458278"
"14","35","2020-05-06","0.00503041352868268","-0.0278573022954676","-0.00481177872871368","-0.0789798356540796","-0.0423193691766123","-0.244336965854424","4.70340818944722","-57.0031846886283","-20.3249866950902","-152.599893560721","0.1709421232333"
"15","35","2020-06-04","0.000800254498313272","-0.0516675032492018","-0.00622202238077962","-0.0863255828853067","-0.0349258277153298","-0.215312771148291","4.19597003206203","-65.1984701825523","-19.7681066701256","-148.144853361005","0.308050750595617"
"16","35","2020-10-08","0.00498736453742474","-0.0336741316112876","-0.00499109464016989","-0.0823613518738976","-0.0304026216581289","-0.189185799957814","4.06269632210355","-64.5316257948396","-18.9296106910044","-141.436885528035","0.414122829546576"
"17","36","2020-05-06","0.00503041352868268","-0.0278573022954676","-0.00481177872871368","-0.0789798356540796","-0.0399314592644452","-0.231609357121122","4.94480210721276","-52.3036169396839","-20.3926616625297","-153.141293300238","0.224388019891638"
