"","Site.Number","O4","O5","O6","O7","O8","O9"
"1",21,-17.2424354553223,-15.4896936416626,-14.7224912643433,-13.0139932632446,-13.7562074661255,-13.8359470367432
"2",21,-17.2424354553223,-15.4896936416626,-14.7224912643433,-13.0139932632446,-13.7562074661255,-13.8359470367432
"3",21,-17.2424354553223,-15.4896936416626,-14.7224912643433,-13.0139932632446,-13.7562074661255,-13.8359470367432
"4",24,-18.0882606506348,-16.2965240478516,-15.512451171875,-13.6469755172729,-14.3720827102661,-14.4977121353149
"5",24,-18.0882606506348,-16.2965240478516,-15.512451171875,-13.6469755172729,-14.3720827102661,-14.4977121353149
"6",24,-18.0882606506348,-16.2965240478516,-15.512451171875,-13.6469755172729,-14.3720827102661,-14.4977121353149
"7",30,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
"8",30,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
"9",30,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
"10",31,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
"11",31,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
"12",31,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
"13",32,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
"14",35,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"15",35,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"16",35,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"17",36,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"18",36,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"19",36,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"20",38,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"21",38,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"22",38,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"23",39,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"24",39,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
