,site number,O 1,O 2,O 3,O11,O12
1,4,-22.46739006,-21.77622986,-19.73626518,-19.94917297,-22.12918472
2,5,-22.46739006,-21.77622986,-19.73626518,-19.94917297,-22.12918472
3,6,-22.46739006,-21.77622986,-19.73626518,-19.94917297,-22.12918472
4,9,-22.17328835,-21.48918533,-19.4738636,-19.66823196,-21.85535622
5,16,-22.11653519,-21.42614746,-19.43062592,-19.60658073,-21.8146534
6,21,-23.06361771,-22.36602211,-20.29627037,-20.53779602,-22.73539543
7,24,-24.01246643,-23.30413246,-21.16243362,-21.46694374,-23.65519714
8,27,-23.93010902,-23.23485565,-21.09597588,-21.40217972,-23.59035873
9,29,-23.93010902,-23.23485565,-21.09597588,-21.40217972,-23.59035873
10,30,-22.09392166,-21.41574478,-19.42878151,-19.60118675,-21.82510185
11,31,-22.09392166,-21.41574478,-19.42878151,-19.60118675,-21.82510185
12,32,-22.09392166,-21.41574478,-19.42878151,-19.60118675,-21.82510185
13,35,-22.32959747,-21.67283821,-19.65081406,-19.86176491,-22.07230949
14,36,-22.32959747,-21.67283821,-19.65081406,-19.86176491,-22.07230949
15,38,-22.32959747,-21.67283821,-19.65081406,-19.86176491,-22.07230949
16,39,-22.89408875,-22.22714043,-20.16782379,-20.41064072,-22.62264252
17,40,-22.32959747,-21.67283821,-19.65081406,-19.86176491,-22.07230949
18,41,-22.32959747,-21.67283821,-19.65081406,-19.86176491,-22.07230949
19,43,-21.95437241,-21.33516502,-19.33057594,-19.53304482,-21.74946022
20,44,-22.35819817,-21.72179985,-19.68669319,-19.91437912,-22.12003326
21,46,-22.74168777,-22.0933094,-20.03939819,-20.28153992,-22.49511909
22,47,-21.95437241,-21.33516502,-19.33057594,-19.53304482,-21.74946022
23,48,-21.95437241,-21.33516502,-19.33057594,-19.53304482,-21.74946022
24,49,-21.97834587,-21.38448143,-19.36455727,-19.58576202,-21.79697227
25,50,-21.95437241,-21.33516502,-19.33057594,-19.53304482,-21.74946022
26,51,-21.97834587,-21.38448143,-19.36455727,-19.58576202,-21.79697227
27,52,-22.09392166,-21.41574478,-19.42878151,-19.60118675,-21.82510185
28,59,-22.09392166,-21.41574478,-19.42878151,-19.60118675,-21.82510185
29,62,-22.09392166,-21.41574478,-19.42878151,-19.60118675,-21.82510185
30,63,-22.09392166,-21.41574478,-19.42878151,-19.60118675,-21.82510185
31,64,-22.09392166,-21.41574478,-19.42878151,-19.60118675,-21.82510185
32,65,-22.35819817,-21.72179985,-19.68669319,-19.91437912,-22.12003326
33,67,-22.35819817,-21.72179985,-19.68669319,-19.91437912,-22.12003326
34,68,-22.09392166,-21.41574478,-19.42878151,-19.60118675,-21.82510185
35,70,-22.32959747,-21.67283821,-19.65081406,-19.86176491,-22.07230949
36,71,-22.32959747,-21.67283821,-19.65081406,-19.86176491,-22.07230949
37,73,-22.3821888,-21.69171906,-19.6827774,-19.8718338,-22.08892632
38,76,-21.97834587,-21.38448143,-19.36455727,-19.58576202,-21.79697227
39,80,-21.95437241,-21.33516502,-19.33057594,-19.53304482,-21.74946022
40,84,-21.90150452,-21.19276047,-19.21721077,-19.36430359,-21.56814384
41,101,-22.32959747,-21.67283821,-19.65081406,-19.86176491,-22.07230949
42,104,-21.97834587,-21.38448143,-19.36455727,-19.58576202,-21.79697227
